net,length_um
_04577_,252.9
_03226_,252.33
_04579_,251.195
_04903_,250.855
_04887_,249.44
net59,247.9
_04060_,247.84
_04606_,246.5
_01894_,245.805
_02599_,245.1
net2,243.28
_04672_,242.53
_03100_,241.81
_02620_,241.2
_03083_,240.47
_04493_,239.98
_02671_,238.28
_01995_,238.12
_02852_,237.91
_02614_,237.71
_04519_,237.43
_04960_,237.425
_03204_,236.6
_01986_,236.52
_04605_,236.14
_02618_,235.96
_02658_,235.43
clknet_4_11__leaf_clk,235.28
_05237_,235.07
_02625_,235.04
_05377_,235.04
_01895_,234.05
_03174_,232.96
_02015_,232.82
_01911_,232.72
_02779_,232.15
_04014_,231.62
_02612_,231.1
_01963_,231.055
_02153_,230.74
_02997_,229.72
_02743_,229.34
_02030_,228.68
_02610_,228.36
_04891_,228.3
_02005_,226.86
_04576_,226.73
_02489_,225.44
_02155_,224.29
_02561_,224.17
_04354_,224.14
_04028_,223.94
_02525_,223.34
_01936_,223.23
_02016_,223.13
_02706_,222.14
ID_EX_A\[31\],222.12
_02154_,220.91
_02228_,220.62
clknet_4_15__leaf_clk,220.57
_04535_,220.42
net57,220.42
_04011_,220
ID_EX_A\[16\],219.65
_02340_,218.85
_02656_,218.85
_03265_,218.76
_02629_,218.62
_04430_,218.49
_02627_,218.275
_04016_,218.24
_04040_,218.24
_05211_,218.06
_02606_,217.94
ID_EX_A\[12\],217.91
_02670_,217.68
_02622_,217.66
_01601_,217.48
_04464_,217.46
_04684_,216.94
_01922_,216.88
_02230_,216.82
_02608_,216.82
_02119_,216.54
_03078_,216.32
_04599_,216.2
net28,216.1
_02641_,215.9
_02133_,215.52
ID_EX_B\[23\],215.34
_02718_,215.34
_02791_,215
_02601_,214.62
_02643_,214.26
_04992_,213.78
_02633_,213.75
_04244_,213.64
_02303_,213.37
_01598_,213.1
_02148_,212.9
_04540_,212.445
_02043_,212.36
_02238_,212.36
_02631_,212.14
_02597_,211.61
_02616_,211.56
_04472_,211.14
ID_EX_NPC\[10\],211.02
_02925_,211
_02050_,210.7
_02666_,210.65
_02816_,210.545
_03033_,210.48
_02263_,210.34
_02198_,210.1
_02213_,209.92
_02650_,209.855
net7,209.54
_02889_,209.48
_01970_,209.04
_03805_,208.84
_01589_,208.69
_02660_,208.64
_01964_,208.63
_03071_,208.455
_03948_,208.26
_02257_,208.25
_03075_,208
_02646_,207.74
_02023_,207.45
_01924_,207.18
_05857_,207
_01971_,206.72
_02664_,206.51
_02022_,206.34
net33,206.26
_03912_,205.83
_02247_,205.8
_02259_,205.62
_03697_,205.56
ID_EX_B\[25\],205.3
_02209_,204.9
_01977_,204.86
_04134_,204.44
_03841_,203.7
_02091_,203.58
_01780_,203.36
_04529_,203.18
_02639_,203.15
_02084_,203.1
ID_EX_IR\[0\],203.08
_05057_,202.96
_02267_,202.86
_03998_,202.76
_04687_,202.59
_01931_,202.18
_02219_,202.04
_04097_,201.76
_03424_,201.28
_04610_,201.23
_02075_,201.06
_02853_,200.9
_02648_,200.895
_01593_,200.72
_01591_,200.61
_01949_,200.53
_03502_,200.3
net54,200.06
_01912_,199.98
_02201_,199.9
_04171_,199.64
_02652_,199.52
_02240_,199.19
_02243_,199.04
_02662_,198.99
_02261_,198.73
_03098_,198.7
_03252_,198.58
_01587_,198.34
_02044_,198.32
_02120_,197.94
_04318_,197.74
_02092_,197.26
_01733_,196.635
_02865_,196.62
_04598_,196.52
_02226_,196.16
_03259_,195.91
_02245_,195.74
_03684_,195.72
_02141_,195.68
_04504_,195.62
_01577_,195.4
_04880_,195.24
_02217_,195.09
_04566_,195.08
ID_EX_NPC\[30\],194.83
_04506_,194.76
_02961_,194.4
_05652_,194.39
_02134_,194.22
_04787_,194.22
_02425_,193.97
_02127_,193.52
EX_MEM_IR\[10\],193.14
_04207_,192.96
_04492_,192.95
_02548_,192.895
_02170_,192.7
_03443_,192.38
_02037_,192.2
_02207_,191.68
_02203_,191.64
_01950_,191.58
_01957_,191.57
_01978_,191.44
_01889_,191.36
_02637_,191.04
ID_EX_A\[30\],190.9
_01942_,190.85
_02222_,190.74
_02057_,190.18
_04656_,190.035
_04052_,189.92
_04480_,189.84
_02194_,189.32
_02085_,189.3
MEM_WB_ALUOUT\[27\],189.14
_02249_,189.06
_02126_,189.01
_04475_,188.965
_02098_,188.86
_02099_,188.7
_01877_,188.67
_01888_,188.64
_02113_,188.38
_01943_,188.04
_02058_,187.9
_02074_,187.86
ID_EX_IMMEDIATE\[5\],187.72
_02501_,187.26
_02234_,186.98
_02279_,186.9
_05026_,186.76
ID_EX_NPC\[31\],186.67
_02224_,186.6
net67,186.43
_03992_,186.42
_02066_,186.395
_02780_,186.38
_02755_,186.28
_02215_,186.26
_02211_,186.18
_05061_,186.04
_03034_,185.54
_02635_,184.94
_04518_,184.9
net71,184.84
_02654_,184.8
net27,184.71
_02729_,184.34
_02051_,183.68
_02876_,183.68
_01956_,183.62
ID_EX_A\[15\],183.58
_03461_,183.42
_03673_,183.17
net199,183.16
_03284_,182.855
_01921_,182.8
_04026_,182.6
_05015_,182.46
_03842_,182.25
_02475_,181.94
_02106_,181.72
_01935_,181.59
_02067_,181.48
_02205_,181.14
_04618_,181.035
_04642_,180.99
_02512_,180.8
_03828_,180.66
_02036_,180.54
_04680_,180.32
_03756_,180.06
_02147_,179.72
_05329_,179.72
_03470_,179.71
_02159_,179.54
_04488_,179.23
_02220_,179.16
_01783_,178.96
_04281_,178.79
_04494_,178.5
_03329_,177.92
_04050_,177.9
_04020_,177.38
_02105_,177.04
_02436_,177.01
_05055_,176.66
_02140_,176.41
_03792_,175.76
_04621_,175.7
_02707_,175.5
_02255_,175.02
_04000_,174.86
_02181_,174.78
_02962_,174.64
_02537_,174.24
_01905_,174.13
_02802_,174.115
ID_EX_B\[21\],174.04
net51,173.86
_05687_,173.84
_04516_,173.72
_03853_,173.61
_03089_,173.2
_04489_,173.12
_03781_,172.6
_02251_,172.38
_04330_,172.095
_03069_,171.78
_04979_,171.76
_03734_,171.58
_01869_,171.15
_01891_,170.46
_02232_,170.37
IF_ID_IR\[20\],170.18
_02464_,170.11
_02901_,170.095
net69,170.09
_03312_,169.56
MEM_WB_ALUOUT\[25\],169.32
_01871_,169.15
ID_EX_B\[5\],168.96
_03720_,168.93
clknet_4_10__leaf_clk,168.82
_04445_,168.77
_02766_,168.72
_04471_,168.72
_02253_,168.665
_02828_,168.365
_02236_,168.18
_01584_,168.12
_02065_,168.08
_03698_,168.07
_03770_,168.06
_03240_,168.02
_01552_,167.995
_04442_,167.65
_04024_,167.47
_02326_,167.38
_03662_,167.34
_02363_,166.98
_02352_,166.9
_03020_,166.85
_04496_,166.74
_02029_,166.69
_04538_,166.55
ID_EX_A\[11\],166.37
_05718_,165.99
_02315_,165.72
_03924_,165.16
net70,164.9
_03709_,164.285
_02854_,164.16
net75,164.12
net74,162.735
_03864_,162.36
_02290_,162.32
_02077_,162.295
_02341_,162.28
_02984_,162.27
_02241_,162.1
_02490_,162.05
_02414_,161.6
ID_EX_A\[5\],161.42
_02973_,161.4
_02948_,161.355
_04958_,161.34
_04109_,161.18
ID_EX_B\[22\],161
net42,161
_03477_,160.34
EX_MEM_ALUOUT\[3\],160.27
ID_EX_IR\[12\],160.14
_03806_,160.02
MEM_WB_ALUOUT\[28\],159.86
_03817_,159.7
_03074_,159.44
_02400_,159.25
_02623_,159.08
_02526_,159.07
_05617_,158.87
_03745_,158.64
_04505_,158.48
_02453_,158.46
ID_EX_B\[27\],158.44
_03091_,157.96
_04513_,157.92
_02682_,157.75
_04054_,157.68
_02602_,157.58
_01592_,157.3
_04542_,157.165
net22,157
net169,156.9
_03464_,156.73
net58,156.7
_02644_,156.67
_04377_,156.44
_04006_,156.3
_04072_,156.26
_03913_,156.22
_01602_,156.16
_02078_,155.9
_03278_,155.59
ID_EX_B\[24\],155.42
_02912_,155.4
_04612_,155.08
_04793_,155
_02998_,154.96
_02839_,154.84
_04391_,154.84
MEM_WB_ALUOUT\[23\],154.52
_01590_,154.46
_02268_,154.28
ID_EX_B\[17\],154.2
_03407_,154.18
_02693_,154.17
_04146_,153.98
_03103_,153.9
EX_MEM_IR\[7\],153.78
_04490_,153.66
_01916_,153.505
EX_MEM_IR\[8\],153.45
_01987_,153.16
_04625_,153.025
_04532_,152.5
_04575_,152.46
_01687_,152.28
_04459_,151.95
_02081_,151.88
_02071_,151.675
EX_MEM_IR\[9\],151.54
_02937_,151.355
_02304_,151.26
_02890_,150.92
_04355_,150.84
_03056_,150.75
_01520_,150.72
_03045_,150.16
ID_EX_A\[13\],150.08
_03949_,150.04
_04183_,150
_05908_,149.86
_01880_,149.58
ID_EX_B\[6\],149.48
_02584_,149.295
_04061_,149.28
_03489_,148.96
_04293_,148.695
_04018_,148.18
_04500_,148.12
_01925_,148.04
_02926_,147.96
_03935_,147.96
_04427_,147.92
_04044_,147.6
_02389_,147.46
_03009_,147.16
_05888_,146.98
_04304_,146.815
_03291_,146.44
_05433_,146.36
_01926_,146.2
clknet_leaf_111_clk,145.93
_03986_,145.77
_02744_,145.68
_05295_,145.66
_01982_,145.64
_04282_,145.4
_01917_,145.315
_04754_,145.07
_01594_,145.05
net19,144.86
_03900_,144.54
_05804_,144.53
_04444_,144.22
_01555_,144.2
ID_EX_B\[28\],144.14
net44,144.14
_03960_,144.02
_05954_,143.92
_03971_,143.74
_04032_,143.7
_01927_,143.62
_05059_,143.32
_01903_,143.02
_01599_,142.93
_03989_,142.76
_03369_,142.52
_05581_,142.425
_02573_,142.235
_03350_,142.14
_04366_,141.3
_04002_,141.28
_01878_,141.2
_05769_,141.1
MEM_WB_ALUOUT\[26\],141.06
_05021_,141.06
_04792_,141.04
_03388_,140.88
_04172_,140.82
_04462_,140.76
_04048_,140.34
_04541_,140.22
_04208_,140
_05952_,139.66
_03294_,139.06
_02817_,138.98
_04810_,138.69
_02199_,138.68
ID_EX_A\[14\],138.67
net43,138.16
_03108_,137.96
ID_EX_B\[31\],137.94
MEM_WB_ALUOUT\[24\],137.46
ID_EX_A\[8\],137.4
_02562_,137.38
_04478_,137.32
_02378_,136.2
_01932_,136.08
_04267_,136.04
_01588_,135.99
_04776_,135.56
_05568_,134.925
_05597_,134.62
_04341_,134.27
IF_ID_IR\[21\],134.2
ID_EX_B\[30\],133.83
_05025_,133.62
_04507_,133.52
_03889_,133.32
_01597_,132.895
_04527_,132.48
ID_EX_B\[26\],132.32
_04531_,132.14
net73,132.125
_02062_,131.6
_05479_,131.59
ID_EX_B\[29\],131
_05212_,130.83
_01892_,130.62
_04219_,130.42
clknet_leaf_53_clk,130.3
clknet_3_5_0_clk,130.3
EX_MEM_ALUOUT\[2\],129.94
_05682_,129.52
clknet_leaf_152_clk,129.38
_04482_,129.31
_04098_,129.22
_01684_,128.85
_05648_,128.8
_05143_,128.7
_00032_,128.36
MEM_WB_ALUOUT\[21\],128.26
_03878_,128.22
MEM_WB_ALUOUT\[29\],127.54
_04510_,127.385
ID_EX_B\[2\],127.065
EX_MEM_ALUOUT\[20\],126.78
_04008_,126.58
_04036_,126.52
_05060_,126.5
_04956_,126.48
_04526_,126.4
_04539_,126.1
_03295_,125.9
_04319_,125.9
_03996_,125.8
_03481_,125.76
_03170_,125.48
_03245_,125.06
_04724_,125.04
_04120_,124.98
_04042_,124.84
_04245_,124.66
_04413_,124.48
_04256_,124.185
clknet_3_0_0_clk,123.85
clknet_leaf_55_clk,123.29
clknet_3_2_0_clk,122.91
_04556_,122.86
_05715_,122.76
_04022_,122.48
clknet_leaf_178_clk,122.28
_04194_,122.24
clknet_leaf_110_clk,122.155
_04135_,122.1
_04741_,121.85
_04574_,121.74
clknet_leaf_39_clk,121.74
_04046_,121.26
_03228_,120.78
_04083_,120.76
clknet_leaf_57_clk,120.74
_05009_,120.47
clknet_leaf_73_clk,120.375
_05801_,120.32
_04701_,119.5
_05137_,119.43
_01732_,119.2
_05887_,118.7
net37,118.44
_04030_,118.42
clknet_leaf_141_clk,118.42
MEM_WB_ALUOUT\[20\],118.28
ID_EX_B\[16\],118.175
_04010_,117.87
_03150_,117.72
_04453_,117.7
_04157_,117.62
_03264_,117.54
clknet_leaf_58_clk,117.44
_03086_,117.38
clknet_leaf_88_clk,116.78
_05279_,116.76
_03210_,116.74
_03132_,116.64
_04650_,116.37
clknet_3_4_0_clk,116.35
clknet_leaf_49_clk,116.04
_01565_,115.62
_05553_,115.53
_05599_,115.36
_05767_,115.24
clknet_leaf_142_clk,114.975
clknet_leaf_99_clk,114.96
_05052_,114.8
_04534_,114.6
_02742_,114.46
clknet_leaf_172_clk,114.02
net55,113.48
_04986_,113.3
_04038_,113.2
_05896_,113.08
_04443_,112.98
_01901_,112.805
_04517_,112.77
clknet_leaf_10_clk,112.67
_04631_,112.115
_03114_,111.58
net1,111.5
clknet_leaf_11_clk,111.4
_04515_,111.315
REG\[7\]\[0\],110.78
_05871_,110.57
clknet_leaf_20_clk,110.42
clknet_leaf_100_clk,110.375
_05138_,110.26
clknet_leaf_155_clk,110.21
_04479_,110.1
clknet_leaf_61_clk,109.96
clknet_leaf_29_clk,109.94
MEM_WB_ALUOUT\[31\],109.88
_03189_,109.8
_04402_,109.8
clknet_leaf_85_clk,109.795
clknet_leaf_103_clk,109.74
_05953_,109.32
EX_MEM_ALUOUT\[0\],108.97
clknet_leaf_5_clk,108.92
clknet_3_7_0_clk,108.8
net6,108.7
clknet_leaf_170_clk,108.695
clknet_leaf_34_clk,107.74
_05559_,107.4
ID_EX_B\[18\],107.38
clknet_leaf_127_clk,107.355
clknet_3_6_0_clk,107.34
_02451_,107.22
clknet_leaf_16_clk,106.4
net603,106.02
clknet_leaf_75_clk,105.99
_05162_,105.96
_01870_,105.88
MEM_WB_ALUOUT\[22\],105.84
clknet_leaf_144_clk,105.78
clknet_leaf_131_clk,105.68
clknet_leaf_69_clk,105.66
_01566_,105.63
clknet_leaf_163_clk,105.59
_04674_,105.46
_05723_,105.09
clknet_leaf_14_clk,105
_03301_,104.96
_04056_,104.54
clknet_leaf_56_clk,104.175
clknet_leaf_38_clk,103.85
_04935_,103.66
clknet_leaf_126_clk,103.2
clknet_leaf_51_clk,102.82
clknet_leaf_139_clk,102.42
clknet_leaf_160_clk,102.34
clknet_leaf_22_clk,101.97
clknet_leaf_79_clk,101.94
_03585_,101.8
clknet_leaf_168_clk,101.7
_04487_,101.62
clknet_leaf_48_clk,101.6
_03633_,101.58
clknet_leaf_166_clk,101.57
clknet_leaf_28_clk,101.515
REG\[7\]\[1\],101.48
_02196_,101.47
_02600_,101.26
ID_EX_B\[8\],100.9
clknet_leaf_113_clk,100.73
_05042_,100.64
clknet_leaf_173_clk,100.6
_04601_,100.59
_03468_,100.4
clknet_leaf_90_clk,100.3
ID_EX_B\[15\],99.97
_03649_,99.96
_03617_,99.92
clknet_leaf_24_clk,99.54
clknet_leaf_167_clk,99.54
_04643_,99.48
net247,99.18
_05949_,99.16
clknet_leaf_62_clk,98.66
net177,98.6
clknet_leaf_116_clk,98.52
_03505_,98.1
_04664_,98.06
clknet_leaf_6_clk,97.92
_01824_,97.9
clknet_leaf_171_clk,97.78
_04230_,97.595
_05777_,97.57
_04647_,97.54
clknet_leaf_169_clk,97.42
_03487_,97.3
clknet_3_3_0_clk,97.05
clknet_leaf_164_clk,97
_03521_,96.9
_04536_,96.48
_05765_,96.06
_05930_,96.01
_02266_,95.98
_03569_,95.64
_02376_,95.29
_05150_,94.985
_03279_,94.36
clknet_leaf_89_clk,94.2
_03414_,94.18
clknet_leaf_32_clk,94.16
clknet_leaf_101_clk,93.86
ID_EX_B\[7\],93.76
_05806_,93.38
_04791_,93.24
_05071_,93.2
ID_EX_B\[13\],92.96
_03601_,92.56
REG\[7\]\[2\],92.3
clknet_leaf_15_clk,92.2
_02157_,91.82
clknet_leaf_153_clk,91.72
clknet_leaf_136_clk,91.5
_01522_,91.185
_01770_,91.04
clknet_leaf_146_clk,91.04
_03396_,90.98
clknet_leaf_104_clk,90.9
clknet_leaf_91_clk,90.86
clknet_leaf_154_clk,90.86
_04426_,90.74
clknet_leaf_1_clk,90.5
clknet_leaf_81_clk,90.44
ID_EX_B\[3\],90.365
clknet_leaf_65_clk,90.34
_04854_,89.7
_03319_,89.64
_03357_,89.58
_05776_,89.5
_03376_,89.28
_05463_,89.24
clknet_3_1_0_clk,89.21
_04908_,89
_01554_,88.89
_03431_,88.88
clknet_leaf_67_clk,88.86
_03553_,88.84
_05284_,88.7
ID_EX_B\[19\],88.66
_04851_,88.6
ID_EX_NPC\[16\],88.22
_03450_,88.12
clknet_leaf_30_clk,87.995
clknet_leaf_60_clk,87.995
_04964_,87.68
clknet_leaf_158_clk,87.485
clknet_leaf_46_clk,87.33
_03282_,87.28
_05864_,87.28
clknet_leaf_44_clk,87.1
clknet_leaf_41_clk,86.825
_04752_,86.72
MEM_WB_ALUOUT\[30\],86.56
_04763_,86.3
clknet_leaf_4_clk,86.275
_04801_,86.24
EX_MEM_ALUOUT\[7\],85.88
clknet_leaf_64_clk,85.74
_04460_,85.67
ID_EX_NPC\[0\],85.4
clknet_leaf_70_clk,85.24
clknet_leaf_94_clk,85.2
clknet_leaf_42_clk,85.15
_03337_,85.08
_01521_,84.94
clknet_leaf_124_clk,84.92
_01874_,84.56
ID_EX_B\[11\],84.46
MEM_WB_LDM\[26\],84.44
clknet_leaf_12_clk,84.42
clknet_leaf_40_clk,84.06
clknet_leaf_115_clk,84.06
clknet_leaf_54_clk,83.89
EX_MEM_ALUOUT\[9\],83.76
_04514_,83.74
_04777_,83.63
clknet_leaf_27_clk,83.455
clknet_leaf_128_clk,83.42
clknet_leaf_147_clk,83.42
REG\[7\]\[25\],83.355
clknet_leaf_130_clk,83
_04749_,82.96
_03298_,82.78
clknet_leaf_80_clk,82.6
_04508_,82.49
clknet_leaf_36_clk,82.49
_05151_,82.4
clknet_leaf_23_clk,82.32
clknet_leaf_72_clk,82.14
clknet_leaf_125_clk,82.12
ID_EX_A\[0\],82.04
clknet_leaf_87_clk,81.86
_03627_,81.68
clknet_leaf_26_clk,81.62
_03537_,81.28
clknet_leaf_83_clk,81.28
_04848_,81.18
clknet_leaf_105_clk,81.18
_05019_,81.02
ID_EX_IMMEDIATE\[3\],80.76
_01731_,80.32
_01868_,80.26
_04659_,80.14
clknet_leaf_184_clk,80.1
clknet_leaf_162_clk,80
_05552_,79.94
clknet_leaf_176_clk,79.78
clknet_leaf_179_clk,79.52
ID_EX_B\[12\],79.36
clknet_leaf_151_clk,79.26
_05072_,79.2
clknet_leaf_71_clk,79.16
clknet_leaf_107_clk,79.16
_04545_,79.06
_05141_,79.02
net187,78.88
clknet_leaf_19_clk,78.68
_05459_,78.54
clknet_leaf_37_clk,78.22
_04537_,77.88
_05663_,77.78
clknet_leaf_18_clk,77.64
clknet_leaf_77_clk,77.28
ID_EX_NPC\[14\],77.18
net36,77.08
_05584_,77
ID_EX_B\[20\],76.99
clknet_leaf_47_clk,76.94
_05364_,76.52
clknet_leaf_97_clk,76.34
ID_EX_B\[10\],76.2
clknet_leaf_121_clk,75.92
clknet_leaf_76_clk,75.78
_05746_,75.77
clknet_leaf_66_clk,75.66
_03333_,75.64
_04615_,75.6
net17,75.48
clknet_leaf_117_clk,75.16
clknet_leaf_106_clk,74.78
clknet_leaf_2_clk,74.48
clknet_leaf_149_clk,74.4
clknet_leaf_74_clk,73.6
_05215_,73.32
_05619_,73.25
_04686_,72.64
clknet_leaf_129_clk,72.58
clknet_leaf_114_clk,72.52
clknet_leaf_25_clk,72.34
clknet_leaf_180_clk,72.06
_04639_,71.34
clknet_leaf_140_clk,71.24
_04981_,70.92
_05100_,70.86
_04544_,70.36
_01557_,69.94
_03111_,69.94
_04446_,69.78
_03498_,69.72
_03315_,69.62
_05903_,69.59
_03372_,69.36
_04838_,69.34
clknet_leaf_157_clk,69.32
_04522_,69.3
_01559_,69.055
_03185_,69
_05302_,69
clknet_leaf_17_clk,68.8
clknet_leaf_59_clk,68.44
clknet_leaf_181_clk,68.245
_05081_,68.1
_05512_,68.06
ID_EX_NPC\[3\],68.04
clknet_leaf_183_clk,67.6
net119,67.325
ID_EX_A\[4\],67.09
_03659_,66.64
_03547_,66.58
clknet_leaf_86_clk,66.56
_04530_,66.52
net207,66.42
clknet_leaf_84_clk,66.22
REG\[7\]\[17\],66.205
_05080_,65.955
_01564_,65.93
clknet_leaf_119_clk,65.84
_03447_,65.76
_05191_,65.74
_03166_,65.62
_04994_,65.43
net49,65
ID_EX_B\[14\],64.98
REG\[7\]\[27\],64.685
clknet_leaf_118_clk,64.6
_03643_,64.52
_03598_,64.42
_03261_,64.4
clknet_leaf_31_clk,64.38
_04573_,64.36
_05149_,64.36
_03353_,64.28
_05999_,64.28
clknet_leaf_134_clk,64.14
_03582_,64.04
clknet_leaf_137_clk,64
_01879_,63.635
net190,63.48
ID_EX_NPC\[12\],63.24
_05464_,63.18
_03566_,62.98
_05967_,62.98
MEM_WB_ALUOUT\[13\],62.94
_03646_,62.78
EX_MEM_ALUOUT\[4\],62.72
net76,62.445
_05614_,62.44
clknet_leaf_9_clk,62.3
net118,62.245
_03630_,62.1
EX_MEM_ALUOUT\[27\],62.04
_05503_,61.97
_03611_,61.92
clknet_leaf_82_clk,61.74
clknet_leaf_156_clk,61.72
_03595_,61.52
ID_EX_NPC\[5\],61.28
_03242_,61.22
_03206_,60.9
_05031_,60.84
net9,60.78
ID_EX_B\[9\],60.76
_04533_,60.7
_04509_,60.68
_04520_,60.21
_03518_,60.1
_05078_,60.03
_03501_,59.76
_05077_,59.76
clknet_leaf_33_clk,59.64
_03428_,59.62
_03465_,59.56
clknet_leaf_174_clk,59.56
_05708_,59.5
MEM_WB_ALUOUT\[19\],59.36
clknet_leaf_177_clk,59.32
clknet_leaf_92_clk,59.22
_04458_,59.2
_05690_,59.2
_03410_,59.14
_04584_,59.12
_03146_,59.06
net1363,58.92
_03484_,58.86
_05961_,58.86
_03531_,58.74
_01809_,58.6
_04812_,58.55
_03579_,58.52
ID_EX_A\[10\],58.5
net116,58.405
_03392_,58.4
_05446_,58.37
_05900_,58.37
clknet_leaf_138_clk,58.16
_03224_,58.1
clknet_leaf_148_clk,57.98
ID_EX_IR\[14\],57.6
clknet_leaf_159_clk,57.54
_03550_,57.46
_03128_,57.44
clknet_leaf_122_clk,57.26
_03077_,57.16
_05121_,57.12
_04942_,57.1
_04512_,57.02
ID_EX_IMMEDIATE\[2\],56.96
clknet_leaf_13_clk,56.94
_05850_,56.6
clknet_leaf_45_clk,56.6
clknet_leaf_78_clk,56.6
_05328_,56.56
_05943_,56.54
_05014_,56.5
REG\[7\]\[19\],56.34
ID_EX_NPC\[4\],56.02
_05897_,55.94
ID_EX_NPC\[27\],55.68
REG\[7\]\[28\],55.62
_03614_,55.46
_03255_,55.2
_05267_,55.1
clknet_leaf_35_clk,55.06
_05735_,54.98
_03515_,54.92
clknet_leaf_63_clk,54.92
net41,54.86
clknet_leaf_3_clk,54.86
_03563_,54.84
REG\[7\]\[18\],54.655
_05906_,54.16
clknet_leaf_93_clk,54.16
clknet_leaf_132_clk,54.14
_01768_,54.02
_04919_,53.94
ID_EX_NPC\[28\],53.735
_04841_,53.7
_01867_,53.64
_04594_,53.64
_04630_,53.64
_03534_,53.46
_03480_,53.38
_05721_,53.2
_05805_,53.2
_04699_,53.12
ID_EX_NPC\[21\],53.08
_05772_,52.94
ID_EX_NPC\[22\],52.92
clknet_leaf_7_clk,52.8
_05131_,52.74
_05498_,52.685
_04779_,52.665
_05730_,52.58
net209,52.305
_05054_,52.24
_05840_,52.18
clknet_leaf_143_clk,52.18
MEM_WB_ALUOUT\[16\],51.88
_05831_,51.8
EX_MEM_ALUOUT\[5\],51.68
net188,51.66
