net,length_um
net3,811.14
net12,793.54
clknet_0_clk,734.28
net20,734.08
net8,733.2
net30,714.87
net47,608.5
net13,606.095
net23,586.74
net24,586.04
net39,548.76
net10,540.66
net26,527.54
net48,524.04
net32,515.76
net29,512.58
_03073_,504.27
_03990_,501.99
net16,501.34
net11,484.75
clknet_4_7__leaf_clk,480.25
net50,476.98
_05016_,466.52
clknet_4_2__leaf_clk,459.89
_03985_,453.88
clknet_4_0__leaf_clk,452.23
net21,446.5
clknet_4_1__leaf_clk,446.02
net38,442.84
clknet_4_6__leaf_clk,442.77
clknet_4_5__leaf_clk,441.15
net4,436.88
_03190_,428.04
net25,423
EX_MEM_ALUOUT\[1\],420.07
_01890_,414.67
clknet_4_3__leaf_clk,408.2
net14,401.68
_03339_,401.32
_05229_,400.45
_03085_,398.64
_03088_,396.88
_04390_,395.91
_03079_,394.52
net65,394.04
_03412_,388.68
_03087_,386.58
ID_EX_A\[24\],386.4
ID_EX_A\[28\],386.22
clknet_4_4__leaf_clk,383.02
_04434_,379.51
net45,377.275
_03395_,376.52
_03345_,375.39
_03336_,374.92
_03402_,374.18
_01831_,373.51
_03994_,372.52
net15,369.52
_03390_,369.48
_01744_,369
_03377_,368.07
_03355_,365.51
_03152_,364.14
_03432_,364.055
ID_EX_A\[21\],363.81
_03361_,361.91
_03332_,361.74
ID_EX_A\[23\],361.575
_03426_,360.8
_03094_,359.8
_03383_,359.72
_03438_,357.2
_02598_,355.44
_03365_,355.44
_03348_,355
_02007_,354.54
_02008_,354.39
ID_EX_A\[25\],354.24
_03373_,353.75
_04034_,352.74
ID_EX_A\[29\],352.26
_04004_,352.04
_03445_,351.76
clknet_4_9__leaf_clk,351.27
_04611_,350.635
clknet_4_8__leaf_clk,350.51
_03451_,348.91
_01645_,348
_02449_,347.72
_01651_,347.63
ID_EX_A\[26\],346.74
_03316_,344.91
_02009_,342.57
ID_EX_A\[22\],341.7
_02012_,341.51
net61,341.46
net35,341.36
_01644_,340.675
_01635_,340.24
_04012_,338.475
_01650_,336.37
_03082_,335.49
_01649_,333.875
_01643_,331.94
clknet_4_13__leaf_clk,330.78
_01998_,330.36
_01646_,330.27
_04865_,329.195
_03303_,328.46
_04461_,327.82
_02001_,327.24
_01997_,326.92
ID_EX_A\[27\],325.44
_01822_,322.71
_03987_,321.76
_01638_,321.61
_01994_,319.61
_02195_,318.24
_03076_,317.44
_04613_,315.98
net5,315.44
net31,314.9
_02151_,311.93
_04788_,309.965
net64,309.78
_01991_,308.6
net18,305.04
ID_EX_A\[19\],304.61
_04875_,303.875
net40,303.28
net52,303.22
_04959_,302.895
ID_EX_B\[1\],300.82
ID_EX_A\[20\],300.63
_04587_,299.83
_04781_,297.42
net62,296.56
_04569_,295.57
_04780_,293.415
_01896_,293.245
_03168_,293.19
_03161_,292.695
_04429_,292.56
_03116_,292.48
_04873_,292.38
_03080_,291.2
_04784_,290.52
_04785_,290.49
_02668_,290.31
_04600_,289.97
_03070_,289.94
_03158_,289.4
_03769_,289.12
_03661_,288.42
clknet_4_14__leaf_clk,288.07
_03097_,285.54
_04439_,284.48
_03733_,284.355
_03216_,283.835
_05810_,283.4
_04440_,282.16
_04596_,281.97
_03209_,281.88
_04033_,280.54
net60,280.52
_00063_,280.28
_03178_,279.84
_02112_,279.75
_02158_,279.04
_04580_,277.83
_04525_,277.24
_02452_,276.24
_03197_,274.6
_02377_,274.54
_04881_,272.695
_02004_,271.755
_03145_,271.16
_02150_,269.64
_02413_,269
_04853_,268.685
_04593_,268.595
clknet_4_12__leaf_clk,267.79
_03246_,267.18
_01902_,265.92
_01985_,265.78
clk,265.73
_03149_,265.47
_03129_,265
_04486_,264.66
_03191_,263.625
_03107_,262.96
net46,262.82
_03186_,261.18
_03101_,260.84
ID_EX_NPC\[9\],260.36
_04578_,259.74
_04437_,259.42
_05018_,259.22
_04811_,258.18
_02604_,257.96
net53,257.52
_04917_,257.45
_01898_,256.06
net68,254.84
_04592_,254.69
_05124_,253.95
