net,length_um
net1,75.92
net3,46.09
net7,41.54
_17_,38.09
clknet_1_1__leaf_clk,34.76
net2,32.44
clk,30.7
clknet_1_0__leaf_clk,27.68
net4,26.02
net6,23.9
net5,21.09
net10,20.56
clknet_0_clk,19.46
_08_,18.73
net8,18.08
count[0],17.66
_16_,17.36
net9,17.07
count[7],17
_21_,14.495
count[3],14.35
_18_,13.495
reset,12.85
net16,11.94
count[2],11.14
net18,10.7
count[5],10.68
net14,10.34
_05_,10.12
count[1],9.18
count[4],8.93
_03_,8.54
_20_,8.26
net17,7.98
count[6],7.59
_19_,7.58
net12,7.24
_02_,6.76
_01_,6.24
_07_,6.205
_11_,5.73
net13,5.7
_15_,5.56
_10_,4.27
_06_,4.22
_00_,4.145
_13_,3.47
_04_,3.3
net15,3.1
_09_,2.77
net11,2.62
_12_,2.21
_14_,2.04
