net,length_um
_102_,129.56
_103_,118.34
net1,109.38
_058_,103.6
_105_,87.26
clknet_2_0__leaf_clk,80.16
rx_inst.bit_count\[2\],79.94
clknet_2_3__leaf_clk,78.74
clknet_2_1__leaf_clk,70.17
rx_inst.bit_count\[1\],66.38
clknet_0_clk,62.33
net8,61.48
tx_inst.bit_count\[0\],61.395
clknet_2_2__leaf_clk,61.34
clk,59.2
net16,53.9
net2,53.84
tx_inst.bit_count\[1\],51.84
net5,51.46
_061_,46.78
_057_,45.72
tx_inst.state\[1\],43.96
net11,41.26
rx_inst.state\[2\],40.18
net3,38.22
net18,38.22
net12,38.04
rx_inst.state\[1\],35.02
_063_,34.54
net19,31.76
_068_,31.54
_066_,30.6
net25,28.6
_072_,28.42
rx_inst.state\[3\],27.86
net23,27.66
_067_,25.06
tx_inst.data_reg\[3\],24.98
tx_inst.bit_count\[2\],23.495
_064_,22.76
net7,22.44
net20,22.3
net17,22.22
tx_inst.state\[0\],21.51
tx_inst.data_reg\[0\],21.16
_091_,21.08
_089_,20.98
_099_,20.62
tx_data[3],20.51
net13,20.36
net30,20.16
tx_inst.data_reg\[7\],19.66
reset,18.67
_082_,17.74
_080_,17.68
_083_,17.32
tx_inst.data_reg\[1\],17.32
tx_inst.data_reg\[6\],17.03
_095_,17.02
_074_,16.38
_094_,16.18
_086_,15.76
_070_,15.56
_088_,15.32
_040_,15.24
net14,14.88
rx_data[7],14.82
start,14.7
_060_,14.34
_090_,14.32
net15,14.08
_096_,13.07
_008_,12.8
_062_,12.68
net43,12.66
net46,12.6
_013_,12.45
net10,12.26
rx_inst.rx,11.93
net28,11.72
tx_inst.data_reg\[4\],11.54
tx_data[1],11.34
tx_data[4],11.34
tx_inst.state\[2\],11.28
_097_,11.24
_000_,11
_113_,10.7
tx_data[7],10.42
rx_data[1],10.32
_100_,9.78
_076_,9.76
tx_data[0],9.64
tx_data[5],9.64
_111_,9.42
rx_data[0],9.4
rx_inst.state\[0\],9.375
_051_,8.985
_029_,8.79
net37,8.74
_032_,8.61
_085_,8.56
rx_data[5],8.47
_047_,8.44
_065_,8.42
tx_inst.data_reg\[2\],8.33
net31,8.2
_039_,8.18
_052_,7.96
_079_,7.94
net53,7.88
rx_done,7.58
tx_inst.data_reg\[5\],7.4
net29,7.22
_002_,7.18
_003_,7.18
tx_inst.state\[3\],6.86
_087_,6.72
_092_,6.52
net41,6.5
net44,6.38
_084_,6.3
_110_,6.18
_098_,6.02
_011_,5.99
_024_,5.99
tx_data[6],5.97
tx_done,5.97
_106_,5.84
rx_data[6],5.75
_081_,5.68
net47,5.62
tx_data[2],5.51
net21,5.38
net27,5.38
_022_,5.33
_001_,5.26
_012_,4.93
net9,4.92
_075_,4.88
_059_,4.8
_025_,4.73
_030_,4.73
_046_,4.58
_033_,4.44
_035_,4.42
rx_data[2],4.39
_107_,4.34
net33,4.34
rx_data[3],4.27
_034_,4.24
_056_,4.125
_019_,4.08
_021_,4.08
_037_,4.08
_009_,4.05
_043_,4
net52,4
rx_data[4],3.93
_114_,3.88
rx_inst.bit_count\[0\],3.76
net22,3.76
_044_,3.66
_104_,3.66
net26,3.66
_036_,3.54
_042_,3.54
_073_,3.54
_069_,3.42
_101_,3.42
net32,3.32
net42,3.32
net50,3.22
net54,3.22
net56,3.22
net38,3.2
_053_,3.175
_108_,3.08
_055_,3.045
net40,2.86
_015_,2.84
_004_,2.76
_071_,2.76
net36,2.76
_014_,2.74
net6,2.74
_020_,2.72
_010_,2.69
_017_,2.67
_007_,2.62
_077_,2.62
net48,2.62
net49,2.62
net55,2.62
_078_,2.5
net45,2.5
_050_,2.485
net24,2.465
net4,2.4
_016_,2.38
_023_,2.38
_026_,2.38
_031_,2.38
_049_,2.325
net39,2.3
_048_,2.28
net35,2.28
_027_,2.23
_028_,2.23
_045_,2.18
_006_,2.16
_038_,2.16
_109_,2.16
_112_,2.06
_054_,2.025
net51,1.84
_018_,1.82
_093_,1.14
_041_,1.085
_005_,0.46
net34,0.46
